Model,CPU,CPU specifications,GPU,Storage capacity,Removable storage,RAM,OS,Custom launcher,Dimensions,Weight,Battery,Recharge Power,Display,Camera,Fingerprint sensor,Facial recognition
Oppo Find X,Snapdragon 845,Octa-core2.8 GHz,Adreno 630,128 or 256 GB  512 GB (Lamborghini Edition),None,8 GB,Android 8.1 "Oreo",ColorOS 5.1,156.7 x 74.2 x 9.4 mm,186g,3730 mAh  3400 mAh (Super Flash Edition),USB-C20W（MAX 50WSuper VOOC）,6.42" 2340x1080 AMOLED,Dual 16 MP + 20 MP (rear camera) 25 MP (front camera),None,Yes 3D
Xiaomi Mi MIX 3,Snapdragon 845,Octa-core2.8 GHz,Adreno 630,128 or 256 GB,None,6/8/10 GB,Android 9.0 "Pie",MIUI 10,157.9 x 74.7 x 8.5 mm,218g,3200 mAh,USB-C18WWireless10W,6.39" 2340x1080 AMOLED,Dual 12 MP (rear camera) Dual 24 MP + 2 MP (front camera),Rear-mounted,Yes
Xiaomi Mi 8,Snapdragon 845,Octa-core CPU4x2.8 GHz Kryo 385 Gold + 4x1.8 GHz Kyro 385 Silver,Adreno 630,64/128/256 GB,None,6/8 GB LPDDR4X,Android 9.0 "Pie",MIUI 10,154.9 x 74.8 x 7.6 mm,175g,3400 mAh,USB-C18W,6.21" 2248x1080 AMOLED,Dual 12 MP (rear camera) 20 MP (front camera),Rear-mounted,Yes IR
Xiaomi Mi 8 SE,Snapdragon 710,Octa-core (2x2.2 GHz 360 Gold & 6x1.7 GHz Kryo 360 Silver),Adreno 616,64/128 GB,None,4/6 GB LPDDR4X,Android 9.0 "Pie",MIUI 10,147.28 x 73.09 x 7.5 mm,164g,3120 mAh,USB-C18W,5.88" 2244x1080 AMOLED,Dual 12 MP + 5 MP (rear camera) 20 MP (front camera),Rear-mounted,None
Xiaomi Mi MIX 2S,Snapdragon 845,Octa-core CPU4x2.8 GHz Kryo 385 Gold + 4x1.8 GHz Kyro 385 Silver,Adreno 630,64/128/256 GB,None,6/8 GB LPDDR4X,Android 9.0 "Pie",MIUI 10,150.86 x 74.9 x 8.1 mm,189g,3400 mAh Li-Ion,USB-C18WWireless7.5W,5.99" 2160x1080 IPS LCD,Dual 12 MP (rear camera) 5 MP (front camera),Rear-mounted,Yes
Meizu 16th/16th Plus,Snapdragon 845,Octa-core CPU4x2.8 GHz Kryo 385 Gold + 4x1.8 GHz Kyro 385 Silver,Adreno 630,64 GB (16th) 128 GB (both) 256 GB (16th Plus),None,6/8 GB LPDDR4X (both),Android 8.1 "Oreo",Meizu Flyme OS,16th:150.5 x 73.2 x 7.3 mm16th Plus:160.4 x 78.2 x 7.3 mm,16th:152g16th Plus:182g,16th:3010 mAh Li-Po16th Plus:3570 mAh Li-Po,USB-C mCharge 4.0 24W,16th : 6" 2160x1080 AMOLED16th Plus: 6.5" 2160x1080 AMOLED,Dual 12 MP + 20 MP (rear camera) 20 MP (front camera),Under screen,Yes
Apple iPhone XS/XS Max,Apple A12 Bionic,Hexa-core(2x2.49 GHzVortex & 4x? GHz Tempest) ,Apple-designed GPU (4-core),64 256 or 512 GB,None,4 GB LPDDR4X,iOS 12,N/A,XS:143.6 x 70.9 x 7.7 mmXS Max:157.5 x 77.4 x 7.7 mm,XS:177gXS Max: 208g,XS: 2658 mAhXS Max: 3174 mAh,Lightning≥18WWireless,XS: 5.8” 2436x1125 Super Retina OLEDXS Max: 6.5" 2688x1242 Super Retina OLED,Dual 12 MP (rear) 7 MP TrueDepth (front camera),None,Yes 3D
Apple iPhone XR,Apple A12 Bionic,Hexa-core(2x2.49 GHzVortex & 4x? GHz Tempest) ,Apple-designed GPU (4-core),64 128 or 256 GB,None,3 GBLPDDR4X,iOS 12,N/A,150.9 x 75.7 x 8.3 mm,194g,2942 mAh,Lightning≥18WWireless,6.1” 1792x828 Liquid Retina IPS LCD,12 MP (rear camera) 7 MP TrueDepth (front camera),None,Yes 3D
Huawei Honor Magic 2,Kirin 980,Octa-core2.6 GHz,Mali-G76 MP10,128 or 256 GB,None,6/8 GB,Android 9.0 "Pie",Huawei EMUI 9 or Magic UI 2,157.3 x 75.1 x 8.3 mm,206g,3500 mAh,USB-C18W(MAX40W),6.39" 2340x1080 AMOLED,Triple 16 MP + 16 MP + 24 MP (rear camera) Triple 16 MP + 2 MP + 2 MP (front camera),Under-screen,Yes
Huawei Mate 20/Mate 20 Pro,Kirin 980,Octa-core2.6 GHz,Mali-G76 MP10,128 GB (both) or 256 GB (Mate 20 Pro),up to 256 GB,Mate 20: 4/6 GBMate 20 Pro: 6/8 GB,Android 9.0 "Pie",EMUI 9,Mate 20:158.2 x 77.2 x 8.3 mmMate 20 Pro:157.8 x 72.3 x 8.6 mm,Mate 20: 188gMate 20 Pro: 189g,Mate 20: 4000 mAhMate 20 Pro: 4200 mAh,USB-C 18W/22.5W  Wireless charging,Mate 20: 6.53" 2244x1080 IPS LCDMate 20 Pro: 6.39" 3120x1440 AMOLED,Mate 20: Triple 12 MP + 16  MP + 8 MP (rear camera) 24 MP (front camera)Mate 20 Pro: Triple 40 MP + 20 MP + 8 MP (rear camera) 24 MP (front camera),Mate 20: Rear-mountedMate 20 Pro: Under screen,Mate 20: YesMate 20 Pro: Yes 3D
